Chromosome/scaffold name	Gene name	Gene % GC content	Entrezgene	Gene start (bp)	Gene end (bp)	 type
19	OVOL3	56.44	728361	36111143	36113711	protein_coding
2	POTEF	38.86	728378	130073535	130129222	protein_coding
17		59.87	728392	5499427	5501006	protein_coding
16	TUFM	55.33	7284	28842411	28846348	protein_coding
5	GUSBP1	37.03	728411	21341833	21589372	lncRNA
1	ZC3H12A-DT	47.84	728431	37350934	37474432	lncRNA
1	PPIEL	47.69	728448	39522280	39559698	lncRNA
6	METTL24	40.62	728464	110243940	110358349	protein_coding
19		46.02	728485	36773100	36777078	lncRNA
9	DNLZ	64.43	728489	136359480	136363744	protein_coding
HSCHR5_1_CTG1_1	SERF1B	43.63	728492	250579	268460	protein_coding
HSCHR5_2_CTG1_1	SERF1B	43.59	728492	492256	510143	protein_coding
5	SERF1B	43.62	728492	70025251	70043113	protein_coding
15	GOLGA8H	48.94	728498	30604028	30617752	protein_coding
7	SPDYE8	48.52	728524	73019719	73029766	protein_coding
HG2275_PATCH	C2orf92	45.08	728537	590248	629097	protein_coding
2	C2orf92	45.08	728537	97664217	97703066	protein_coding
10	ENTPD1-AS1	39.50	728558	95732976	96090250	lncRNA
12	UQCC6	40.61	728568	103940763	103965708	protein_coding
9	CNTNAP3B	38.25	728577	41890314	42129510	protein_coding
5	CCDC192	39.21	728586	127703361	127941507	protein_coding
13	CCDC169	37.97	728591	36222008	36297840	protein_coding
2	DCDC2C	44.56	728597	3703575	3848008	protein_coding
1	TUFT1	45.93	7286	151540305	151583583	protein_coding
18	PCAT18	40.57	728606	26687621	26703638	lncRNA
1	CCDC30	39.35	728621	42463221	42657190	protein_coding
HG1_PATCH	DHRS4L1	43.57	728635	313391	352355	lncRNA
14	DHRS4L1	43.65	728635	23969931	24051377	lncRNA
5	MEIKIN	39.03	728637	131806990	131945698	protein_coding
1	CDK11A	52.05	728642	1702379	1724357	protein_coding
10	HNRNPA1P33	47.42	728643	46415853	46416413	processed_pseudogene
X	DMRTC1B	44.18	728656	72776890	72848803	protein_coding
10	RPL13AP5	57.35	728658	96750288	96750899	processed_pseudogene
1	SLC35E2B	53.57	728661	1659529	1692795	protein_coding
16	EIF3CL	47.23	728689	28379579	28403841	protein_coding
16	EIF3C	48.48	728689	28688558	28735727	protein_coding
8	CCDC26	38.39	728724	128634199	129683770	lncRNA
16	NPIPB8	45.76	728734	28637654	28658744	protein_coding
16	NPIPB6	46.02	728741	28342517	28363508	protein_coding
7		56.43	728743	150400702	150412470	protein_coding
19	ZNF566-AS1	57.69	728752	36489649	36491040	lncRNA
2	CROCC2	57.72	728763	240906330	240993311	protein_coding
5	SCAMP1-AS1	42.35	728769	78342333	78360507	lncRNA
5	ANKDD1B	40.41	728780	75611182	75681773	protein_coding
19	TULP2	51.24	7288	48880965	48898744	protein_coding
1	FAM72C	40.13	728833	143955287	143971986	protein_coding
1	FAM72D	40.18	728833	145095974	145112696	protein_coding
1	NBPF8	43.63	728841	120415035	120469676	protein_coding
12	C12orf71	46.32	728858	27081057	27082578	protein_coding
HG926_PATCH	NPIPB11	47.87	728888	1679674	1702604	protein_coding
16	NPIPB11	46.95	728888	29381310	29406711	protein_coding
12	TULP3	44.99	7289	2877223	2941138	protein_coding
7	ZNF736	38.43	728927	64307459	64356634	protein_coding
11	CAPN1-AS1	48.43	728975	65177606	65181834	lncRNA
22	HIRA	46.11	7290	19330698	19447450	protein_coding
11	ZBED5-AS1	40.64	729013	10858179	10908972	lncRNA
10	RPEL1	39.58	729020	103245887	103248016	protein_coding
15	OIP5-AS1	42.97	729082	41283958	41322392	lncRNA
3	GASK1A	46.55	729085	42979087	43067898	protein_coding
10	AGAP5	42.19	729092	73674287	73698109	protein_coding
10	BMS1P4	41.14	729096	73699151	73730487	lncRNA
7	GTF2IRD1P1	49.96	729156	66809993	66844923	lncRNA
1	TNFSF4	39.89	7292	173183731	173207331	protein_coding
X	SPACA5B	48.72	729201	48130626	48132620	protein_coding
3	CCR2	44.09	729230	46353864	46360940	protein_coding
10	NUTM2B	58.42	729262	79703227	79714681	protein_coding
16	TP53TG3B	49.20	729264	33360841	33363478	protein_coding
16	TP53TG3D	49.22	729264	32253286	32255928	protein_coding
16	TP53TG3	49.20	729264	32673528	32676165	protein_coding
16	TP53TG3C	49.18	729264	33194226	33196858	protein_coding
17	ZNF286B	42.38	729288	18658429	18682228	lncRNA
1	TNFRSF4	70.33	7293	1211326	1214153	protein_coding
19	PLIN4	59.44	729359	4502192	4518486	protein_coding
11	TRIM49D2	37.46	729384	89924064	89933063	protein_coding
4	TXK	39.46	7294	48066393	48134250	protein_coding
7	CASTOR2	52.97	729438	74964705	75031528	protein_coding
19	CCDC61	52.56	729440	45995461	46021318	protein_coding
9	TXN	41.92	7295	110243810	110256507	protein_coding
6	TMEM242	43.27	729515	157289025	157323601	protein_coding
1	FAM72A	42.13	729533	206186179	206204414	protein_coding
2	RGPD6	40.53	729540	110513802	110610840	protein_coding
7	SPDYE6	49.55	729597	102345746	102356444	protein_coding
12	TXNRD1	42.37	7296	104215779	104350307	protein_coding
1	SPEN-AS1	50.48	729614	15834474	15848147	lncRNA
16	TEDC2-AS1	59.62	729652	2464950	2468213	lncRNA
14	CCDC175	39.18	729665	59504539	59576812	protein_coding
5	LINC00847	47.45	729678	180830326	180839742	lncRNA
19	TYK2	54.36	7297	10350533	10380608	protein_coding
2	DNAJC27-AS1	45.17	729723	24971390	25039716	lncRNA
HG76_PATCH		45.42	729732	5663032	5861284	lncRNA
8		45.42	729732	12467693	12665588	lncRNA
HG2198_PATCH	PPIAP46	47.76	729739	190821	191310	transcribed_processed_pseudogene
15	PPIAP46	47.76	729739	74361552	74362041	transcribed_processed_pseudogene
19	ZNF878	46.15	729747	12043805	12052961	protein_coding
18	TYMS	45.66	7298	657653	673578	protein_coding
4	FHIP1A	39.54	729830	151409176	151670503	protein_coding
7	UMAD1	37.60	729852	7640711	7968020	protein_coding
2	RGPD2	39.56	729857	87755960	87825796	protein_coding
1		51.36	729867	160202199	160208869	lncRNA
HSCHR17_7_CTG4	TBC1D3L	60.15	729873	2216782	2227731	protein_coding
17	TBC1D3	60.11	729873	38181659	38192555	protein_coding
17	TBC1D3L	60.17	729873	37978155	37989060	protein_coding
HSCHR17_7_CTG4	TBC1D3H	60.08	729877	612435	623327	protein_coding
17	TBC1D3H	60.07	729877	36377531	36388435	protein_coding
7	CRPPA	36.76	729920	16087525	16502504	protein_coding
2	MORN2	39.58	729967	38875976	38929072	protein_coding
19	RFPL4AL1	41.92	729974	55769118	55773420	protein_coding
16	NPIPB2	46.55	729978	11927259	11976643	protein_coding
19	BORCS8	54.34	729991	19176903	19192591	protein_coding
22	SEC14L6	50.58	730005	30522799	30546741	protein_coding
19	ZNF814	46.12	730051	57848731	57889074	protein_coding
19	ZNF726	37.37	730087	23914876	23945159	protein_coding
3	LINC00886	39.71	730091	156747343	156817062	lncRNA
HG926_PATCH	MOSMO	39.21	730094	1024161	1096736	protein_coding
16	MOSMO	39.30	730094	22007638	22087534	protein_coding
9		61.23	730098	34664163	34666112	protein_coding
15	TYRO3	53.18	7301	41557675	41583589	protein_coding
6		44.51	730101	52664366	52669155	lncRNA
1	CRYZL2P	40.62	730102	178006136	178037950	lncRNA
9	CIMIP2B	55.24	730112	35561831	35563899	protein_coding
16		66.35	730183	30697704	30699058	lncRNA
1	BTG2-DT	47.33	730227	203298758	203305315	lncRNA
13	ACOD1	43.54	730249	76948511	76958638	protein_coding
19	TYROBP	51.45	7305	35904401	35908295	protein_coding
22		58.87	730668	46006616	46010777	TEC
21	U2AF1	43.62	7307	43092956	43107570	protein_coding
19	UBA52	53.24	7311	18571730	18577550	protein_coding
5		46.57	731157	90410000	90410669	lncRNA
2	RFX8	45.30	731220	101397359	101475112	protein_coding
HSCHR1_3_CTG32_1	LINC01347	45.53	731275	68415	113852	lncRNA
1	LINC01347	45.53	731275	243056307	243101744	lncRNA
17	UBB	51.44	7314	16380798	16382745	protein_coding
4	MIR3945HG	44.39	731424	184843296	184855751	lncRNA
12	UBC	50.70	7316	124911604	124917368	protein_coding
X	UBA1	51.31	7317	47190861	47215128	protein_coding
HG2031_PATCH	LINC01300	60.00	731779	7059	11175	lncRNA
HSCHR8_5_CTG7	LINC01300	60.15	731779	7103	11175	lncRNA
8	LINC01300	60.00	731779	141340505	141344621	lncRNA
3	UBA7	58.10	7318	49805209	49813953	protein_coding
X	UBE2A	44.64	7319	119474802	119591083	protein_coding
5	UBE2B	41.52	7320	134371184	134392108	protein_coding
10	UBE2D1	36.06	7321	58334979	58370751	protein_coding
5	UBE2D2	44.35	7322	139526431	139628434	protein_coding
6	TDRG1	43.92	732253	40334775	40387590	lncRNA
4	UBE2D3	38.48	7323	102794383	102868896	protein_coding
3	UBE2E1	41.42	7324	23805955	23891640	protein_coding
3	UBE2E2	37.68	7325	23203020	23591794	protein_coding
17	UBE2G1	41.79	7326	4269259	4366675	protein_coding
21	UBE2G2	44.85	7327	44768580	44801826	protein_coding
7	UBE2H	41.85	7328	129830732	129952960	protein_coding
16	UBE2I	56.98	7329	1291444	1327018	protein_coding
9	C8G	65.27	733	136945185	136946975	protein_coding
22	UBE2L3	49.73	7332	21549447	21624034	protein_coding
12	UBE2N	39.80	7334	93405673	93441947	protein_coding
20	UBE2V1	44.49	7335	50081124	50115959	protein_coding
8	UBE2V2	42.29	7336	48008415	48064708	protein_coding
15	UBE3A	36.20	7337	25333728	25439051	protein_coding
8	OSGIN2	38.21	734	89901849	89927888	protein_coding
2	SUMO1	41.66	7341	202206182	202238599	protein_coding
3	UBP1	40.23	7342	33388336	33441371	protein_coding
17	UBTF	59.52	7343	44205033	44221626	protein_coding
4	UCHL1	44.57	7345	41256413	41268455	protein_coding
13	UCHL3	35.78	7347	75549483	75606020	protein_coding
3	UPK1B	41.88	7348	119173517	119205143	protein_coding
2	UCN	68.64	7349	27307400	27308445	protein_coding
4	UCP1	40.14	7350	140559431	140568961	protein_coding
11	UCP2	52.37	7351	73974672	73982843	protein_coding
11	UCP3	52.41	7352	74000277	74009085	protein_coding
22	UFD1	46.94	7353	19449911	19479202	protein_coding
HSCHRX_3_CTG3	SLC35A2	52.04	7355	62015	70793	protein_coding
X	SLC35A2	52.04	7355	48903180	48911958	protein_coding
11	SCGB1A1	50.41	7356	62405103	62423195	protein_coding
9	UGCG	40.18	7357	111896814	111935369	protein_coding
4	UGDH	41.86	7358	39498755	39528311	protein_coding
2	UGP2	38.65	7360	63840952	63891562	protein_coding
4	UGT2B10	33.03	7365	68815994	68832023	protein_coding
HSCHR4_1_CTG9	UGT2B10	33.01	7365	392012	407215	protein_coding
HSCHR4_1_CTG9	UGT2B15	34.92	7366	222964	246983	protein_coding
4	UGT2B15	34.90	7366	68646597	68670652	protein_coding
4	UGT2B17	36.61	7367	68537173	68576413	protein_coding
4	UGT8	36.06	7368	114598770	114678225	protein_coding
1	UCK2	44.20	7371	165827614	165911618	protein_coding
3	UMPS	42.69	7372	124730433	124749273	protein_coding
8	COL14A1	38.77	7373	120059780	120373573	protein_coding
12	UNG	46.58	7374	109097597	109126725	protein_coding
3	USP4	47.36	7375	49277144	49340712	protein_coding
19	NR1H2	51.29	7376	50329653	50383388	protein_coding
7	UPP1	48.30	7378	48088628	48108736	protein_coding
11	VPS51	50.69	738	65089324	65111862	protein_coding
22	UPK3A	55.02	7380	45284949	45295874	protein_coding
8	UQCRB	38.71	7381	96222947	96235546	protein_coding
3	UQCRC1	53.04	7384	48599002	48610976	protein_coding
16	UQCRC2	40.09	7385	21953288	21983660	protein_coding
19	UQCRFS1	41.59	7386	29205320	29213151	protein_coding
1	UQCRH	46.23	7388	46303698	46316776	protein_coding
1	UROD	53.72	7389	45010950	45015575	protein_coding
10	UROS	46.12	7390	125784980	125823288	protein_coding
1	USF1	50.71	7391	161039251	161045977	protein_coding
19	USF2	57.37	7392	35268962	35279821	protein_coding
1	USP1	39.48	7398	62436297	62451804	protein_coding
1	USH2A	36.36	7399	215622891	216423448	protein_coding
11	MRPL49	50.97	740	65122183	65127371	protein_coding
3	CLRN1	40.35	7401	150926163	150972727	protein_coding
6	UTRN	38.01	7402	144285335	144853034	protein_coding
X	KDM6A	38.54	7403	44873188	45112779	protein_coding
Y	UTY	37.54	7404	13234577	13480673	protein_coding
11	UVRAG	38.74	7405	75815210	76144232	protein_coding
HSCHR6_MHC_DBB_CTG1	VARS1	53.81	7407	3025292	3043727	protein_coding
HSCHR6_MHC_COX_CTG1	VARS1	53.81	7407	3254760	3273193	protein_coding
HSCHR6_MHC_APD_CTG1	VARS1	53.81	7407	3110129	3128564	protein_coding
HSCHR6_MHC_MCF_CTG1	VARS1	53.81	7407	3119407	3137842	protein_coding
HSCHR6_MHC_QBL_CTG1	VARS1	56.19	7407	3047437	3051780	protein_coding
HSCHR6_MHC_SSTO_CTG1	VARS1	52.93	7407	3076809	3094270	protein_coding
6	VARS1	53.52	7407	31777518	31795752	protein_coding
19	VASP	54.67	7408	45506579	45526989	protein_coding
19	VAV1	47.39	7409	6772708	6857366	protein_coding
11	ZNHIT2	68.13	741	65116403	65117701	protein_coding
9	VAV2	56.31	7410	133761894	133992604	protein_coding
X	VBP1	40.41	7411	155197007	155239841	protein_coding
1	VCAM1	36.93	7412	100719742	100739045	protein_coding
10	VCL	41.45	7414	73995193	74121363	protein_coding
9	VCP	46.72	7415	35053928	35072668	protein_coding
5	VDAC1	47.29	7416	133971871	134004975	protein_coding
10	VDAC2	44.04	7417	75210154	75231448	protein_coding
8	VDAC3	40.44	7419	42391624	42405937	protein_coding
12	VDR	47.72	7421	47841537	47943048	protein_coding
6	VEGFA	56.40	7422	43770184	43786487	protein_coding
11	VEGFB	60.01	7423	64234584	64239264	protein_coding
3	VHL	47.17	7428	10141778	10153667	protein_coding
2	VIL1	50.01	7429	218419121	218453295	protein_coding
6	EZR	46.15	7430	158765741	158819368	protein_coding
10	VIM	46.30	7431	17228241	17237593	protein_coding
6	VIP	33.81	7432	152750797	152759765	protein_coding
3	VIPR1	52.67	7433	42489299	42537573	protein_coding
7	VIPR2	49.15	7434	159028175	159144867	protein_coding
9	VLDLR	42.45	7436	2621182	2660056	protein_coding
11	BEST1	52.07	7439	61950063	61965515	protein_coding
11	MPPED2	40.01	744	30384493	30586872	protein_coding
22	VPREB1	58.83	7441	22244780	22245515	protein_coding
17	TRPV1	52.60	7442	3565444	3609411	protein_coding
14	VRK1	40.26	7443	96797304	96954846	protein_coding
2	VRK2	35.24	7444	57907629	58159920	protein_coding
2	VSNL1	41.81	7447	17539126	17657018	protein_coding
17	VTN	59.64	7448	28367284	28373091	protein_coding
11	MYRF	59.94	745	61752636	61788518	protein_coding
12	VWF	46.59	7450	5948877	6124770	protein_coding
14	WARS1	46.89	7453	100333790	100376805	protein_coding
X	WAS	50.82	7454	48676596	48691431	protein_coding
7	ZAN	52.68	7455	100733595	100797797	protein_coding
2	WIPF1	41.82	7456	174559572	174682916	protein_coding
7	EIF4H	45.40	7458	74174231	74197122	protein_coding
11	TMEM258	58.49	746	61768501	61792802	protein_coding
7	CLIP2	52.07	7461	74289407	74405935	protein_coding
7	LAT2	53.07	7462	74199652	74229834	protein_coding
9	CORO2A	49.15	7464	98120975	98192637	protein_coding
11	WEE1	40.55	7465	9573670	9593457	protein_coding
4	WFS1	57.04	7466	6269849	6303265	protein_coding
4	NSD2	47.15	7468	1871393	1982207	protein_coding
4	NELFA	48.30	7469	1982717	2041903	protein_coding
11	DAGLA	57.51	747	61680391	61747001	protein_coding
12	WNT1	62.64	7471	48978322	48982620	protein_coding
HSCHR17_2_CTG5	WNT3	53.83	7473	1281918	1352577	protein_coding
HSCHR17_1_CTG5	WNT3	53.69	7473	1748388	1804487	protein_coding
17	WNT3	53.82	7473	46762506	46833154	protein_coding
3	WNT5A	48.49	7474	55465715	55490539	protein_coding
3	WNT7A	51.83	7476	13816258	13880071	protein_coding
5	WNT8A	47.85	7478	138083990	138092365	protein_coding
10	WNT8B	42.74	7479	100463009	100483744	protein_coding
12	WNT10B	55.74	7480	48965340	48971735	protein_coding
11	WNT11	57.84	7481	76186325	76210736	protein_coding
1	WNT2B	44.59	7482	112466541	112530165	protein_coding
1	WNT9A	57.27	7483	227918656	227947932	protein_coding
HSCHR17_2_CTG5	WNT9B	51.25	7484	1352624	1406147	protein_coding
17	WNT9B	51.24	7484	46833201	46886730	protein_coding
21	GET1	44.40	7485	39377698	39428528	protein_coding
8	WRN	35.99	7486	31033788	31176138	protein_coding
11	WT1	46.42	7490	32387775	32435564	protein_coding
22	XBP1	44.93	7494	28794555	28800597	protein_coding
X	XG	45.98	7499	2752040	2816500	protein_coding
16	GAS8-AS1	55.63	750	90028908	90029901	lncRNA
X	XIST	39.78	7503	73820649	73852723	lncRNA
X	XK	39.51	7504	37685791	37732130	protein_coding
9	XPA	38.76	7507	97674909	97697340	protein_coding
3	XPC	45.13	7508	14145147	14178621	protein_coding
11	CSKMT	52.54	751071	62665309	62668496	protein_coding
10	XPNPEP1	44.62	7511	109864766	109923553	protein_coding
X	XPNPEP2	49.74	7512	129738949	129769536	protein_coding
2	XPO1	41.09	7514	61476032	61538741	protein_coding
19	XRCC1	50.91	7515	43543311	43580473	protein_coding
Y	LINC00106	58.50	751580	1396427	1399402	lncRNA
X	LINC00106	58.50	751580	1396427	1399402	lncRNA
7	XRCC2	42.61	7516	152644776	152676193	protein_coding
14	XRCC3	59.79	7517	103697609	103715504	protein_coding
5	XRCC4	35.20	7518	83077498	83353787	protein_coding
17	FMNL1	58.77	752	45221444	45247319	protein_coding
2	XRCC5	39.46	7520	216107464	216206303	protein_coding
16	CEMP1	61.32	752014	2530035	2531417	protein_coding
18	YES1	40.01	7525	721588	812546	protein_coding
14	YY1	45.56	7528	100238298	100282788	protein_coding
20	YWHAB	40.39	7529	44885702	44908532	protein_coding
18	LDLRAD4	46.44	753	13217498	13652755	protein_coding
HSCHR17_2_CTG2	YWHAE	44.81	7531	286301	342404	protein_coding
17	YWHAE	44.73	7531	1344275	1400222	protein_coding
7	YWHAG	44.52	7532	76326799	76358991	protein_coding
22	YWHAH	44.89	7533	31944522	31957603	protein_coding
8	YWHAZ	40.87	7534	100916523	100953388	protein_coding
HG2275_PATCH	ZAP70	55.11	7535	639607	665893	protein_coding
2	ZAP70	55.11	7535	97713576	97739862	protein_coding
11	SF1	49.33	7536	64764606	64778786	protein_coding
19	ZFP36	59.08	7538	39406847	39409412	protein_coding
9	ZFP37	39.08	7539	113038377	113056759	protein_coding
21	PTTG1IP	51.00	754	44849585	44873903	protein_coding
18	ZBTB14	49.00	7541	5289019	5297053	protein_coding
11	ZFPL1	56.22	7542	65084210	65088398	protein_coding
X	ZFX	40.77	7543	24149173	24216255	protein_coding
Y	ZFY	37.27	7544	2935281	2982506	protein_coding
2	ZNF2	44.65	7549	95165432	95184317	protein_coding
21	CFAP410	60.43	755	44328944	44339402	protein_coding
7	ZNF3	48.95	7551	100064033	100082548	protein_coding
X	ZNF711	34.37	7552	85243991	85273362	protein_coding
8	ZNF7	50.86	7553	144827518	144847509	protein_coding
19	ZNF8	48.32	7554	58278955	58302791	protein_coding
3	CNBP	42.65	7555	129167827	129183922	protein_coding
12	ZNF10	40.03	7556	133130575	133159465	protein_coding
7	ZNF12	43.46	7559	6688433	6706947	protein_coding
19	ZNF14	42.04	7561	19710472	19733112	protein_coding
19	ZNF708	39.17	7562	21291160	21329425	protein_coding
8	ZNF16	47.40	7564	144930358	144950888	protein_coding
19	ZNF17	47.69	7565	57411161	57421934	protein_coding
17	ZNF18	41.61	7566	11977439	11997475	protein_coding
16	ZNF19	43.01	7567	71464555	71565089	protein_coding
19	ZNF20	43.97	7568	12092843	12140355	protein_coding
X	ZNF182	40.40	7569	47974851	48003989	protein_coding
21	TMEM50B	43.33	757	33432485	33479974	protein_coding
HSCHR21_4_CTG1_1	TMEM50B	43.27	757	27057	84140	protein_coding
10	ZNF22	40.76	7570	45000923	45005326	protein_coding
16	ZNF23	44.44	7571	71447597	71463095	protein_coding
18	ZNF24	39.64	7572	35332227	35345482	protein_coding
12	ZNF26	43.05	7574	132986365	133032952	protein_coding
19	ZNF28	45.10	7576	52797408	52857600	protein_coding
1	ZSCAN20	44.26	7579	33472645	33501643	protein_coding
22	MPPED1	52.28	758	43411196	43507848	protein_coding
10	ZNF32	46.50	7580	43643860	43648881	protein_coding
10	ZNF33A	39.26	7581	38010650	38065088	protein_coding
10	ZNF33B	40.20	7582	42574185	42638570	protein_coding
HG2066_PATCH	ZNF35	42.60	7584	174086	186145	protein_coding
3	ZNF35	42.60	7584	44648732	44660791	protein_coding
7	ZKSCAN1	44.83	7586	100015572	100041689	protein_coding
10	ZNF37A	39.11	7587	38094334	38150293	protein_coding
7	ZSCAN21	47.86	7589	100049774	100065040	protein_coding
8	CA1	37.14	759	85327608	85379014	protein_coding
X	ZNF41	43.35	7592	47445178	47483222	protein_coding
19	MZF1	55.33	7593	58561931	58573575	protein_coding
HSCHR19_2_CTG2	ZNF43	34.85	7594	166140	170222	protein_coding
19	ZNF43	41.77	7594	21804946	21852125	protein_coding
19	ZNF45	41.37	7596	43912624	43935282	protein_coding
14	ZBTB25	42.25	7597	64449106	64505213	protein_coding
8	CA2	38.44	760	85463968	85481493	protein_coding
8	CA3	38.15	761	85373436	85449040	protein_coding
19	ZNF66	38.99	7617	20776304	20809995	protein_coding
HSCHR19_1_CTG2	ZNF66	38.41	7617	113164	144280	protein_coding
17	CA4	54.97	762	60149942	60170899	protein_coding
19	ZNF69	43.23	7620	11887782	11914329	protein_coding
22	ZNF70	50.13	7621	23738682	23751112	protein_coding
22	ZNF74	50.81	7625	20394115	20408461	protein_coding
X	ZNF75D	41.68	7626	135248920	135344109	protein_coding
16	ZNF75A	45.02	7627	3305406	3318852	protein_coding
6	ZNF76	48.23	7629	35258909	35295985	protein_coding
16	CA5A	51.88	763	87881546	87936580	protein_coding
9	ZNF79	47.15	7633	127424374	127445372	protein_coding
3	ZNF80	41.82	7634	114234631	114237578	protein_coding
12	ZNF84	39.16	7637	133037292	133063304	protein_coding
19	ZNF221	41.33	7638	43951223	43967709	protein_coding
19	ZNF85	37.87	7639	20923222	20950697	protein_coding
HSCHR19_1_CTG2	ZNF85	37.87	7639	266498	293973	protein_coding
19	ZNF90	41.00	7643	20077994	20127076	protein_coding
19	ZNF91	40.54	7644	23304991	23395471	protein_coding
1	CA6	48.06	765	8945867	8975092	protein_coding
19	ZNF99	38.84	7652	22752183	22784151	protein_coding
8	CA8	39.03	767	60185412	60281400	protein_coding
19	ZNF222	42.04	7673	44025342	44033110	protein_coding
19	ZNF121	41.93	7675	9560329	9584504	protein_coding
1	ZNF124	42.19	7678	247121975	247172020	protein_coding
1	PFN1P2	41.11	767846	120432204	120434037	lncRNA
20	HAR1B	58.01	768097	63090806	63102631	lncRNA
15	MKRN3	40.99	7681	23565674	23630075	protein_coding
17	PRCD	55.00	768206	76527586	76553578	protein_coding
4	RELL1	42.83	768211	37590800	37686376	protein_coding
7	MIR671	63.56	768213	151238421	151238538	miRNA
5	ZNF131	44.17	7690	43065176	43192021	protein_coding
19	ZNF132	48.22	7691	58432814	58440153	protein_coding
20	ZNF133	40.41	7692	18288283	18316996	protein_coding
19	ZNF134	46.32	7693	57614233	57624724	protein_coding
19	ZNF135	49.98	7694	58059239	58086310	protein_coding
19	ZNF136	44.40	7695	12163064	12189871	protein_coding
7	ZNF138	39.99	7697	64794388	64833681	protein_coding
12	ZNF140	40.80	7699	133080474	133107526	protein_coding
19	CA11	53.77	770	48637946	48646187	protein_coding
4	ZNF141	40.31	7700	337814	384868	protein_coding
2	ZNF142	49.33	7701	218633329	218659655	protein_coding
11	ZNF143	42.79	7702	9460319	9528524	protein_coding
HSCHR17_7_CTG4	PCGF2	57.06	7703	2769216	2785136	protein_coding
17	PCGF2	57.07	7703	38733898	38749817	protein_coding
11	ZBTB16	47.53	7704	114059041	114256765	protein_coding
19	ZNF146	42.84	7705	36214602	36238771	protein_coding
17	TRIM25	42.89	7706	56836387	56914080	protein_coding
3	ZNF148	36.86	7707	125225669	125375325	protein_coding
1	ZBTB17	51.22	7709	15941869	15976132	protein_coding
15	CA12	48.38	771	63321378	63381846	protein_coding
19	ZNF154	46.27	7710	57696275	57709204	protein_coding
19	ZNF155	40.41	7711	43967862	43998326	protein_coding
X	ZNF157	44.90	7712	47370578	47414498	protein_coding
17	VEZF1	40.94	7716	57971547	57988259	protein_coding
6	ZNF165	42.29	7718	28080568	28089563	protein_coding
HSCHR6_MHC_MANN_CTG1	TRIM26	46.90	7726	1495111	1524080	protein_coding
HSCHR6_MHC_DBB_CTG1	TRIM26	46.88	7726	1440327	1469303	protein_coding
HSCHR6_MHC_COX_CTG1	TRIM26	46.89	7726	1664235	1693198	protein_coding
HSCHR6_MHC_MCF_CTG1	TRIM26	46.83	7726	1528484	1557367	protein_coding
HSCHR6_MHC_APD_CTG1	TRIM26	46.88	7726	1442506	1471482	protein_coding
HSCHR6_MHC_QBL_CTG1	TRIM26	46.88	7726	1439551	1468529	protein_coding
HSCHR6_MHC_SSTO_CTG1	TRIM26	46.91	7726	1483342	1512318	protein_coding
6	TRIM26	46.90	7726	30184455	30213427	protein_coding
16	ZNF174	46.54	7727	3401215	3409364	protein_coding
19	ZNF175	41.97	7728	51571283	51592510	protein_coding
19	CACNA1A	47.43	773	13206442	13633025	protein_coding
19	ZNF177	38.89	7730	9363013	9382617	protein_coding
17	RNF112	60.03	7732	19411125	19417276	protein_coding
19	ZNF180	44.11	7733	44474428	44500524	protein_coding
X	RNF113A	53.22	7737	119870475	119871733	protein_coding
6	ZNF184	38.79	7738	27450743	27473118	protein_coding
HSCHRX_1_CTG14	ZNF185	51.79	7739	513257	588671	protein_coding
X	ZNF185	51.79	7739	152898067	152973481	protein_coding
6	ZSCAN26	41.58	7741	28267058	28278224	protein_coding
9	ZNF189	39.93	7743	101398851	101410660	protein_coding
6	ZKSCAN8	38.62	7745	28141883	28159460	protein_coding
6	ZSCAN9	43.41	7746	28224886	28233487	protein_coding
11	ZNF195	41.43	7748	3339261	3379222	protein_coding
HG1815_PATCH	CACNA1C	47.12	775	312916	1046066	protein_coding
12	CACNA1C	47.14	775	1970772	2697950	protein_coding
13	ZMYM2	37.61	7750	19958677	20091829	protein_coding
16	ZNF200	43.67	7752	3222325	3236221	protein_coding
11	ZNF202	44.44	7753	123723914	123741675	protein_coding
16	ZNF205	58.51	7755	3112560	3120517	protein_coding
17	ZNF207	38.46	7756	32350132	32381885	protein_coding
19	ZNF208	38.16	7757	21932958	22010949	protein_coding
3	CACNA1D	43.72	776	53328963	53813733	protein_coding
16	ZNF213	53.46	7760	3129777	3142804	protein_coding
11	ZNF214	34.92	7761	6997085	7020346	protein_coding
11	ZNF215	37.06	7762	6926404	7001004	protein_coding
9	ZFAND5	39.89	7763	72351413	72365235	protein_coding
20	ZNF217	44.05	7764	53567071	53609907	protein_coding
19	ZNF223	43.76	7766	44051367	44067999	protein_coding
19	ZNF224	39.96	7767	44094361	44109886	protein_coding
19	ZNF225	41.41	7768	44112181	44134822	protein_coding
19	ZNF226	40.39	7769	44165073	44178381	protein_coding
1	CACNA1E	43.87	777	181317690	181813262	protein_coding
19	ZNF227	41.09	7770	44207547	44237268	protein_coding
19	ZNF112	38.31	7771	44326555	44367217	protein_coding
19	ZNF229	41.83	7772	44417519	44448578	protein_coding
19	ZNF230	40.86	7773	44002957	44013924	protein_coding
17	ZNF232	50.51	7775	5105269	5123162	protein_coding
18	ZNF236	42.40	7776	76822557	76972901	protein_coding
1	SLC30A1	40.58	7779	211571568	211579161	protein_coding
X	CACNA1F	52.86	778	49205063	49233371	protein_coding
2	SLC30A3	52.10	7781	27253684	27275817	protein_coding
